Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
99,0.408317,0.833333,0.596340,0.687500,1.254852,0.260417
100,0.346503,0.822917,0.565950,0.750000,1.319072,0.208333
101,0.445182,0.781250,0.579208,0.729167,1.189524,0.166667
102,0.433956,0.802083,0.484532,0.791667,1.304887,0.166667
103,0.360440,0.875000,0.529877,0.760417,1.169995,0.218750
104,0.349451,0.885417,0.538966,0.739583,1.194767,0.187500
105,0.474953,0.750000,0.512447,0.781250,1.325379,0.197917
106,0.412889,0.812500,0.488333,0.833333,1.138833,0.208333
107,0.392736,0.854167,0.509079,0.739583,1.344500,0.177083
108,0.436210,0.791667,0.506195,0.750000,1.264658,0.197917
109,0.395415,0.802083,0.512131,0.781250,1.171690,0.270833
110,0.546147,0.687500,0.490441,0.770833,1.100151,0.260417
111,0.347495,0.885417,0.641185,0.625000,1.277105,0.229167
112,0.483559,0.729167,0.607043,0.708333,1.091782,0.302083
113,0.405681,0.822917,0.625380,0.677083,1.071575,0.322917
114,0.529462,0.760417,0.627389,0.697917,1.188888,0.197917
115,0.325729,0.895833,0.548805,0.708333,1.074919,0.312500
116,0.407398,0.833333,0.534559,0.791667,1.265585,0.250000
117,0.357367,0.864583,0.512197,0.791667,1.262305,0.177083
118,0.414362,0.802083,0.461981,0.812500,1.364220,0.166667
119,0.379456,0.843750,0.545925,0.739583,1.161693,0.218750
120,0.464987,0.802083,0.561292,0.729167,1.160108,0.270833
121,0.498510,0.739583,0.502472,0.760417,1.259907,0.187500
122,0.486553,0.729167,0.473889,0.812500,1.180967,0.187500
123,0.377934,0.833333,0.522405,0.781250,1.209305,0.218750
124,0.377688,0.864583,0.488235,0.770833,1.296283,0.156250
125,0.432646,0.760417,0.469334,0.843750,1.246196,0.166667
126,0.380388,0.843750,0.575352,0.781250,1.356081,0.145833
127,0.458304,0.791667,0.559289,0.781250,1.252643,0.177083
128,0.421949,0.791667,0.461956,0.750000,1.201726,0.166667
129,0.434870,0.791667,0.543664,0.791667,1.155222,0.229167
130,0.446798,0.781250,0.609199,0.708333,1.069848,0.260417
131,0.469109,0.770833,0.565899,0.729167,1.353577,0.197917
132,0.397563,0.843750,0.521993,0.802083,1.127129,0.291667
133,0.386772,0.864583,0.577581,0.770833,1.206905,0.197917
134,0.460618,0.739583,0.581012,0.697917,1.219141,0.197917
135,0.352609,0.895833,0.636571,0.687500,1.243547,0.177083
136,0.484781,0.760417,0.565579,0.708333,1.150964,0.239583
137,0.360173,0.854167,0.531568,0.750000,1.279091,0.187500
138,0.438517,0.781250,0.496279,0.739583,1.245178,0.208333
139,0.429034,0.770833,0.552702,0.750000,1.255342,0.239583
140,0.458888,0.802083,0.608704,0.677083,1.211420,0.270833
141,0.378343,0.864583,0.482964,0.802083,1.250725,0.177083
142,0.451795,0.812500,0.510567,0.750000,1.270530,0.156250
143,0.535031,0.687500,0.504907,0.760417,1.113125,0.208333
144,0.475313,0.791667,0.602548,0.697917,1.263996,0.218750
145,0.330157,0.895833,0.594549,0.677083,1.202205,0.208333
146,0.397959,0.802083,0.595040,0.760417,1.213008,0.250000
