Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
99,0.490889,0.812500,0.951761,0.234375,1.740247,0.000000
100,0.555754,0.843750,0.683613,0.578125,1.407950,0.031250
101,0.258088,0.921875,0.656490,0.609375,1.848722,0.000000
102,0.341351,0.843750,0.480287,0.875000,1.625778,0.000000
103,0.149195,0.953125,0.419286,0.921875,1.895531,0.046875
104,0.198286,0.906250,0.516297,0.765625,2.193887,0.000000
105,0.140767,0.953125,0.429263,0.921875,2.529132,0.000000
106,0.134632,0.953125,0.266667,0.968750,2.516615,0.000000
107,0.145155,0.953125,0.426418,0.921875,3.391903,0.000000
108,0.278226,0.890625,0.167727,0.984375,2.828470,0.000000
109,0.090521,0.968750,0.617595,0.593750,5.995417,0.000000
110,1.253142,0.625000,0.081630,1.000000,3.146508,0.000000
111,0.088299,0.984375,0.406061,0.859375,3.260569,0.000000
112,0.223389,0.953125,0.595130,0.687500,3.576399,0.000000
113,0.394310,0.781250,0.427514,0.796875,3.420325,0.000000
114,0.295709,0.843750,0.495245,0.796875,4.613933,0.000000
115,0.605497,0.656250,0.381501,0.859375,4.568249,0.000000
116,1.044060,0.656250,0.935943,0.593750,5.616030,0.000000
117,1.401900,0.484375,0.572355,0.718750,3.233932,0.000000
118,0.421693,0.812500,0.482517,0.812500,3.008426,0.000000
119,0.474606,0.765625,0.635003,0.656250,3.356002,0.000000
120,0.705929,0.625000,0.446403,0.812500,3.243411,0.015625
121,0.736388,0.718750,0.764194,0.531250,3.456033,0.000000
122,0.491291,0.812500,0.852453,0.484375,3.407775,0.000000
123,0.803606,0.671875,0.821842,0.593750,3.119996,0.000000
124,0.557944,0.796875,1.079048,0.421875,4.839469,0.000000
125,1.162903,0.593750,0.408382,0.843750,3.614375,0.000000
126,0.601485,0.796875,0.815245,0.484375,4.740536,0.000000
127,0.900819,0.593750,0.376178,0.843750,3.693315,0.000000
128,0.413991,0.890625,0.541540,0.687500,3.506119,0.000000
129,0.649579,0.609375,0.516850,0.703125,4.221014,0.000000
130,0.832298,0.625000,0.669277,0.562500,5.745068,0.000000
131,1.023854,0.500000,0.945848,0.468750,3.940953,0.000000
132,0.613480,0.671875,0.420939,0.796875,3.290108,0.000000
133,0.587511,0.734375,0.458955,0.859375,3.395863,0.000000
134,0.552633,0.750000,0.401749,0.765625,2.928958,0.000000
135,0.694754,0.656250,0.694334,0.578125,3.086910,0.000000
136,0.558693,0.718750,0.454851,0.828125,3.100952,0.000000
137,0.550924,0.703125,0.454875,0.812500,2.725502,0.015625
138,0.634092,0.687500,0.779985,0.531250,2.972438,0.000000
139,0.705921,0.718750,0.635288,0.656250,3.766278,0.031250
140,0.874873,0.609375,0.640153,0.640625,5.269003,0.000000
141,1.217323,0.515625,0.402604,0.828125,3.160364,0.000000
142,0.413360,0.843750,1.124658,0.359375,5.754055,0.000000
143,1.124144,0.375000,0.974541,0.312500,3.644588,0.000000
144,0.827270,0.593750,0.284428,0.937500,2.784695,0.000000
145,0.482403,0.781250,0.686667,0.625000,3.067796,0.000000
146,0.768625,0.671875,0.538369,0.750000,2.396444,0.000000
147,0.615637,0.703125,0.694099,0.515625,3.380158,0.000000
148,0.608673,0.640625,0.548729,0.765625,3.247735,0.015625
149,0.837259,0.609375,0.459407,0.843750,3.368908,0.015625
150,1.006068,0.656250,0.539665,0.718750,2.158181,0.000000
151,0.390057,0.828125,1.021746,0.390625,2.626828,0.000000
152,0.861578,0.437500,0.892775,0.437500,2.698069,0.000000
153,0.547034,0.703125,0.716853,0.531250,3.758381,0.000000
154,0.632873,0.578125,0.520685,0.734375,4.148745,0.000000
155,0.542638,0.703125,0.691572,0.609375,3.324636,0.000000
156,0.576643,0.734375,0.333486,0.906250,2.390738,0.000000
