Step,RealDiscLoss,RealDiscAcc,GenDiscLoss,GenDiscAcc,GANLoss,GANAcc
99,0.416074,0.890625,0.327860,0.890625,3.253374,0.000000
100,0.386781,0.765625,0.505711,0.718750,3.285049,0.000000
101,0.535668,0.734375,0.463320,0.828125,3.545853,0.000000
102,0.723770,0.640625,0.825496,0.640625,3.578492,0.093750
103,0.637175,0.640625,0.816211,0.546875,4.674620,0.031250
104,0.729796,0.625000,0.331093,0.921875,3.334038,0.015625
105,0.450338,0.843750,0.681832,0.640625,5.084674,0.000000
106,0.535119,0.812500,0.142687,0.968750,6.309641,0.000000
107,0.648590,0.781250,0.920730,0.593750,4.442598,0.093750
108,0.311506,0.859375,0.825038,0.421875,8.428460,0.109375
109,1.235901,0.531250,0.777772,0.578125,3.965927,0.000000
110,0.663070,0.671875,0.620820,0.656250,4.698245,0.000000
111,1.074208,0.515625,0.638352,0.687500,4.198654,0.000000
112,0.839231,0.593750,0.768123,0.578125,4.597651,0.000000
113,1.031456,0.453125,0.884536,0.609375,3.763239,0.000000
114,0.685475,0.687500,0.317684,0.875000,2.977221,0.000000
115,0.497424,0.734375,0.871346,0.515625,4.566543,0.203125
116,0.979566,0.640625,0.594459,0.718750,4.408664,0.000000
117,0.569970,0.781250,0.672207,0.640625,4.203219,0.000000
118,0.568841,0.703125,0.657064,0.703125,4.807775,0.000000
119,0.733829,0.656250,0.869600,0.546875,4.584149,0.000000
120,0.884543,0.500000,0.842855,0.593750,4.371452,0.000000
121,1.001107,0.546875,0.626559,0.609375,5.028304,0.000000
122,1.066509,0.562500,0.380616,0.843750,3.004534,0.000000
123,0.322517,0.890625,1.364453,0.296875,5.774772,0.062500
124,0.986563,0.468750,1.744878,0.296875,3.953926,0.000000
125,0.716213,0.687500,0.635848,0.671875,4.300419,0.000000
126,0.477974,0.812500,0.414142,0.812500,2.750612,0.000000
127,0.491477,0.750000,0.496504,0.765625,3.386256,0.000000
128,0.640527,0.640625,0.445064,0.781250,3.715010,0.000000
129,0.492728,0.828125,0.367893,0.859375,2.535647,0.000000
130,0.368998,0.859375,0.657014,0.671875,3.000407,0.000000
131,0.472458,0.781250,0.599982,0.656250,2.986105,0.000000
132,0.700631,0.656250,0.416711,0.875000,2.337860,0.000000
133,0.490984,0.812500,0.616162,0.718750,3.238647,0.000000
134,0.876595,0.640625,0.292386,0.984375,2.671022,0.000000
135,0.505494,0.812500,0.978976,0.406250,4.031410,0.046875
136,0.916942,0.671875,0.302871,0.937500,2.600796,0.000000
137,0.273976,0.890625,0.669671,0.578125,6.137710,0.000000
138,1.257201,0.562500,1.008118,0.500000,2.543288,0.046875
139,0.465953,0.796875,0.454346,0.828125,2.693737,0.000000
140,0.325660,0.906250,0.850372,0.437500,2.987735,0.187500
141,1.021699,0.609375,0.615766,0.687500,3.068980,0.000000
142,0.705511,0.703125,0.773520,0.484375,3.654285,0.031250
143,0.664645,0.593750,0.483986,0.718750,2.592562,0.000000
144,0.616906,0.703125,0.703796,0.578125,2.674425,0.000000
145,0.506643,0.796875,0.587032,0.671875,2.871052,0.000000
146,0.769273,0.546875,0.638018,0.640625,2.770929,0.000000
147,0.631256,0.765625,0.410126,0.859375,3.519305,0.015625
148,0.832721,0.640625,0.543046,0.781250,3.468722,0.000000
149,0.528421,0.750000,0.650895,0.609375,3.651764,0.000000
150,0.826297,0.656250,0.675229,0.578125,2.569418,0.031250
151,0.528634,0.734375,0.623796,0.750000,2.756061,0.031250
152,0.525350,0.812500,0.402274,0.796875,3.350817,0.000000
153,0.878318,0.562500,0.664739,0.640625,2.975011,0.000000
154,0.878252,0.640625,0.438910,0.828125,3.340679,0.078125
155,0.514587,0.765625,0.924955,0.500000,2.881053,0.000000
156,0.593974,0.718750,0.503805,0.781250,2.705209,0.000000
157,0.577885,0.734375,0.476257,0.796875,2.929966,0.000000
158,0.735822,0.625000,0.834594,0.718750,2.693733,0.000000
159,0.602665,0.609375,0.747203,0.500000,3.052379,0.015625
160,1.038595,0.546875,0.634551,0.625000,2.576381,0.000000
161,0.698279,0.718750,0.576619,0.765625,2.536448,0.000000
162,0.438932,0.828125,1.024647,0.359375,2.381434,0.000000
163,0.782096,0.562500,0.597683,0.718750,2.359340,0.000000
164,0.494216,0.796875,0.580632,0.718750,3.359860,0.031250
165,0.547822,0.703125,0.648029,0.671875,2.890118,0.015625
166,0.562912,0.750000,0.282481,0.984375,3.385593,0.000000
167,0.408842,0.828125,0.475703,0.796875,4.154830,0.140625
168,0.841805,0.656250,0.547110,0.734375,2.490791,0.000000
169,0.560408,0.734375,0.585894,0.687500,2.037574,0.015625
170,0.304148,0.859375,0.668791,0.671875,2.803961,0.062500
171,0.809028,0.578125,0.649223,0.656250,2.176597,0.015625
172,0.597486,0.734375,1.023656,0.671875,3.178104,0.046875
173,0.712183,0.578125,0.956876,0.437500,2.766914,0.000000
174,0.696786,0.609375,1.381728,0.234375,3.381833,0.000000
175,0.770285,0.593750,0.762458,0.500000,2.222602,0.031250
176,0.518612,0.750000,1.156844,0.312500,2.666095,0.015625
177,1.080954,0.421875,0.720037,0.578125,3.669259,0.000000
178,1.176091,0.562500,1.195046,0.203125,5.882729,0.000000
179,1.684626,0.453125,0.801596,0.562500,2.004967,0.093750
180,0.410780,0.828125,1.176713,0.296875,2.585589,0.046875
181,0.564031,0.703125,0.903442,0.453125,2.250296,0.015625
182,0.968328,0.515625,0.832080,0.500000,2.326811,0.046875
183,0.737879,0.609375,0.791431,0.500000,2.320520,0.000000
184,0.821213,0.515625,0.893110,0.500000,2.408685,0.015625
185,0.775604,0.531250,0.715305,0.562500,1.998106,0.046875
186,0.769506,0.593750,0.644052,0.750000,2.439968,0.000000
187,0.755626,0.609375,0.626912,0.578125,1.724217,0.031250
188,0.645345,0.625000,0.991424,0.375000,2.100174,0.000000
189,0.640515,0.593750,0.676854,0.609375,2.086905,0.015625
190,0.781740,0.609375,0.559108,0.765625,2.274958,0.000000
191,0.591322,0.671875,1.328459,0.281250,2.908636,0.000000
192,0.826145,0.562500,0.764556,0.406250,2.470771,0.046875
193,0.719235,0.546875,0.374055,0.921875,2.482206,0.078125
194,0.455249,0.796875,0.756101,0.578125,2.824173,0.062500
195,0.652553,0.718750,0.682304,0.671875,2.738146,0.000000
196,0.796440,0.531250,0.491348,0.765625,2.363765,0.015625
197,0.582073,0.718750,0.718677,0.625000,1.945457,0.109375
198,0.613691,0.656250,0.613724,0.609375,2.797322,0.000000
199,0.728391,0.640625,0.852737,0.593750,3.277184,0.046875
200,1.016089,0.531250,0.662706,0.578125,2.750839,0.062500
201,0.719425,0.609375,0.611349,0.718750,2.149909,0.046875
202,0.493201,0.812500,0.909880,0.500000,2.805087,0.000000
203,0.650973,0.640625,0.709860,0.625000,2.196877,0.000000
204,0.771429,0.531250,0.571869,0.687500,3.117597,0.171875
205,0.699339,0.656250,0.757645,0.484375,3.322756,0.140625
206,1.095745,0.484375,0.579950,0.734375,1.882606,0.000000
207,0.484868,0.828125,0.738940,0.625000,2.469641,0.125000
208,0.568849,0.671875,0.682261,0.718750,2.565709,0.015625
209,0.650937,0.593750,0.532388,0.796875,2.326990,0.046875
210,0.593084,0.687500,0.725503,0.546875,2.684222,0.078125
211,0.859012,0.500000,0.674781,0.687500,2.042445,0.000000
212,0.613428,0.671875,0.805886,0.515625,2.865229,0.015625
213,1.089240,0.343750,0.564190,0.718750,2.620297,0.046875
214,0.694621,0.640625,0.865860,0.671875,1.865048,0.062500
215,0.610925,0.703125,1.144740,0.281250,3.248155,0.218750
216,1.010180,0.437500,0.676922,0.671875,2.144965,0.000000
217,0.649223,0.671875,0.717210,0.515625,1.908333,0.015625
218,0.513796,0.734375,0.740403,0.562500,1.954713,0.015625
