Step,DiscLoss,DiscAcc,GANLoss,GANAcc
145,0.000000,0.500000,14.804281,0.000000
146,0.000000,0.500000,14.897519,0.000000
147,0.000000,0.500000,14.955993,0.000000
148,0.000000,0.500000,15.054650,0.000000
149,0.000000,0.500000,15.148732,0.000000
150,0.000000,0.500000,15.254671,0.000000
151,0.000000,0.500000,15.292596,0.000000
152,0.000000,0.500000,15.406870,0.000000
153,0.000000,0.500000,15.326389,0.000000
154,0.000000,0.500000,15.530578,0.000000
155,0.000000,0.500000,15.399033,0.000000
156,0.000000,0.500000,15.821503,0.000000
157,0.000000,0.500000,15.503667,0.000000
158,0.000000,0.500000,15.843977,0.000000
159,0.000000,0.500000,15.592527,0.000000
160,0.000000,0.500000,16.098654,0.000000
161,0.000000,0.500000,15.485232,0.000000
162,0.000000,0.500000,16.117825,0.000000
163,0.000000,0.500000,15.386440,0.000000
164,0.000000,0.500000,16.118095,0.000000
165,0.000000,0.500000,15.001705,0.000000
166,0.000000,0.500000,16.118095,0.000000
167,0.000000,0.500000,14.130800,0.000000
168,0.000000,0.500000,16.118095,0.000000
169,0.000000,0.500000,12.738431,0.000000
170,0.000001,0.500000,16.118095,0.000000
171,0.000001,0.500000,10.857430,0.000000
172,0.000001,0.500000,16.118095,0.000000
173,0.000001,0.500000,7.239741,0.000000
174,0.000002,0.500000,16.118097,0.000000
175,0.000002,0.500000,0.392158,1.000000
176,0.000028,0.000000,16.118109,0.000000
177,0.000123,0.500000,0.469757,1.000000
178,0.000010,0.000000,0.716512,0.125000
179,0.000009,0.429688,1.039294,0.000000
180,0.000009,0.500000,1.459211,0.000000
181,0.000008,0.500000,1.962987,0.000000
182,0.000008,0.500000,2.518417,0.000000
183,0.000007,0.500000,3.123900,0.000000
184,0.000007,0.500000,3.826952,0.000000
185,0.000006,0.500000,4.532477,0.000000
186,0.000006,0.500000,5.262618,0.000000
187,0.000005,0.500000,6.002845,0.000000
188,0.000005,0.500000,6.762583,0.000000
189,0.000005,0.500000,7.534016,0.000000
190,0.000004,0.500000,8.283520,0.000000
191,0.000004,0.500000,9.031155,0.000000
192,0.000004,0.500000,9.755383,0.000000
193,0.000003,0.500000,10.474564,0.000000
194,0.000003,0.500000,11.188233,0.000000
195,0.000003,0.500000,11.871730,0.000000
196,0.000003,0.500000,12.527793,0.000000
197,0.000002,0.500000,13.226454,0.000000
198,0.000002,0.500000,13.861946,0.000000
199,0.000002,0.500000,14.482317,0.000000
200,0.000002,0.500000,15.094331,0.000000
201,0.000002,0.500000,15.672028,0.000000
202,0.000002,0.500000,16.112299,0.000000
203,0.000001,0.500000,16.118097,0.000000
204,0.000001,0.500000,16.118097,0.000000
205,0.000001,0.500000,16.118097,0.000000
206,0.000001,0.500000,16.118097,0.000000
207,0.000001,0.500000,16.118095,0.000000
208,0.000001,0.500000,16.118095,0.000000
209,0.000001,0.500000,16.118095,0.000000
210,0.000001,0.500000,16.118095,0.000000
211,0.000001,0.500000,16.118095,0.000000
212,0.000001,0.500000,16.118095,0.000000
213,0.000001,0.500000,16.118095,0.000000
214,0.000000,0.500000,16.118095,0.000000
215,0.000000,0.500000,16.118095,0.000000
216,0.000000,0.500000,16.118095,0.000000
217,0.000000,0.500000,16.118095,0.000000
218,0.000000,0.500000,16.118095,0.000000
219,0.000000,0.500000,16.118095,0.000000
220,0.000000,0.500000,16.118095,0.000000
221,0.000000,0.500000,16.118095,0.000000
222,0.000000,0.500000,16.118095,0.000000
223,0.000000,0.500000,16.118095,0.000000
224,0.000000,0.500000,16.118095,0.000000
225,0.000000,0.500000,16.118095,0.000000
226,0.000000,0.500000,16.118095,0.000000
227,0.000000,0.500000,16.118095,0.000000
228,0.000000,0.500000,16.118095,0.000000
229,0.000000,0.500000,16.118095,0.000000
230,0.000000,0.500000,16.118095,0.000000
231,0.000000,0.500000,16.118095,0.000000
232,0.000000,0.500000,16.118095,0.000000
233,0.000000,0.500000,16.118095,0.000000
234,0.000000,0.500000,16.118095,0.000000
235,0.000000,0.500000,16.118095,0.000000
236,0.000000,0.500000,16.118095,0.000000
237,0.000000,0.500000,16.118095,0.000000
238,0.000000,0.500000,16.118095,0.000000
239,0.000000,0.500000,16.118095,0.000000
240,0.000000,0.500000,16.118095,0.000000
241,0.000000,0.500000,16.118095,0.000000
242,0.000000,0.500000,16.118095,0.000000
243,0.000000,0.500000,16.118095,0.000000
244,0.000000,0.500000,16.118095,0.000000
245,0.000000,0.500000,16.118095,0.000000
246,0.000000,0.500000,16.118095,0.000000
247,0.000000,0.500000,16.118095,0.000000
248,0.000000,0.500000,16.118095,0.000000
249,0.000000,0.500000,16.118095,0.000000
250,0.000000,0.500000,16.118095,0.000000
251,0.000000,0.500000,16.118095,0.000000
252,0.000000,0.500000,16.118095,0.000000
253,0.000000,0.500000,16.118095,0.000000
254,0.000000,0.500000,16.118095,0.000000
255,0.000000,0.500000,16.118095,0.000000
256,0.000000,0.500000,16.118095,0.000000
257,0.000000,0.500000,16.118095,0.000000
