Step,DiscLoss,DiscAcc,GANLoss,GANAcc
145,0.000000,0.500000,16.118095,0.000000
146,0.000001,0.500000,5.633227,0.000000
147,0.000002,0.500000,16.118097,0.000000
148,0.000005,0.500000,0.008289,1.000000
149,0.000324,0.000000,16.118113,0.000000
150,0.000017,0.500000,16.118109,0.000000
151,0.000014,0.500000,16.118107,0.000000
152,0.000012,0.500000,16.118107,0.000000
153,0.000011,0.500000,16.118105,0.000000
154,0.000010,0.500000,16.118103,0.000000
155,0.000009,0.500000,16.118103,0.000000
156,0.000008,0.500000,16.118103,0.000000
157,0.000007,0.500000,16.118101,0.000000
158,0.000006,0.500000,16.118101,0.000000
159,0.000006,0.500000,16.118101,0.000000
160,0.000005,0.500000,16.118099,0.000000
161,0.000005,0.500000,16.118099,0.000000
162,0.000004,0.500000,16.118099,0.000000
163,0.000004,0.500000,16.118099,0.000000
164,0.000004,0.500000,16.118099,0.000000
165,0.000003,0.500000,16.118099,0.000000
166,0.000003,0.500000,16.118097,0.000000
167,0.000003,0.500000,16.118097,0.000000
168,0.000002,0.500000,16.118097,0.000000
169,0.000002,0.500000,16.118097,0.000000
170,0.000002,0.500000,16.118097,0.000000
171,0.000002,0.500000,16.118097,0.000000
172,0.000002,0.500000,16.118097,0.000000
173,0.000001,0.500000,16.118097,0.000000
174,0.000001,0.500000,16.118097,0.000000
175,0.000001,0.500000,16.118095,0.000000
176,0.000001,0.500000,16.118095,0.000000
177,0.000001,0.500000,16.118095,0.000000
178,0.000001,0.500000,16.118095,0.000000
179,0.000001,0.500000,16.118095,0.000000
180,0.000001,0.500000,16.118095,0.000000
181,0.000001,0.500000,16.118095,0.000000
182,0.000000,0.500000,16.118095,0.000000
183,0.000000,0.500000,16.118095,0.000000
184,0.000000,0.500000,16.118095,0.000000
185,0.000000,0.500000,16.118095,0.000000
186,0.000000,0.500000,16.118095,0.000000
187,0.000000,0.500000,16.118095,0.000000
188,0.000000,0.500000,16.118095,0.000000
189,0.000000,0.500000,16.118095,0.000000
190,0.000000,0.500000,16.118095,0.000000
191,0.000000,0.500000,16.118095,0.000000
192,0.000000,0.500000,16.118095,0.000000
193,0.000000,0.500000,16.118095,0.000000
194,0.000000,0.500000,16.118095,0.000000
195,0.000000,0.500000,16.118095,0.000000
196,0.000000,0.500000,16.118095,0.000000
197,0.000000,0.500000,16.118095,0.000000
198,0.000000,0.500000,16.118095,0.000000
199,0.000000,0.500000,16.118095,0.000000
200,0.000000,0.500000,16.118095,0.000000
201,0.000000,0.500000,16.118095,0.000000
202,0.000000,0.500000,16.118095,0.000000
203,0.000000,0.500000,16.118095,0.000000
204,0.000000,0.500000,16.118095,0.000000
205,0.000000,0.500000,16.118095,0.000000
206,0.000000,0.500000,16.118095,0.000000
207,0.000000,0.500000,16.118095,0.000000
208,0.000000,0.500000,16.118095,0.000000
209,0.000000,0.500000,16.118095,0.000000
210,0.000000,0.500000,16.118095,0.000000
211,0.000000,0.500000,16.118095,0.000000
212,0.000000,0.500000,16.118095,0.000000
213,0.000000,0.500000,16.118095,0.000000
214,0.000000,0.500000,16.118095,0.000000
215,0.000000,0.500000,16.118095,0.000000
216,0.000000,0.500000,16.118095,0.000000
217,0.000000,0.500000,16.118095,0.000000
218,0.000000,0.500000,16.118095,0.000000
219,0.000000,0.500000,16.118095,0.000000
220,0.000000,0.500000,16.118095,0.000000
221,0.000000,0.500000,16.118095,0.000000
222,0.000000,0.500000,16.118095,0.000000
223,0.000000,0.500000,16.118095,0.000000
224,0.000000,0.500000,16.118095,0.000000
225,0.000000,0.500000,16.118095,0.000000
226,0.000000,0.500000,16.118095,0.000000
227,0.000000,0.500000,16.118095,0.000000
